title,description,image_urls,start_price_itc,bid_increment_itc,reserve_price_itc,category
"Antique Oak Dining Table","Beautiful solid oak dining table from the 1920s. Seats 6 comfortably. Minor scratches on surface, otherwise excellent condition. Dimensions: 72"" x 36"" x 30""","https://example.com/table1.jpg,https://example.com/table2.jpg,https://example.com/table3.jpg",100,10,150,"Furniture"
"Vintage Pocket Watch","Gold-plated pocket watch from 1890s. Swiss movement, keeps accurate time. Includes original chain and presentation box. Engraved with initials ""J.M."" on the back.","https://example.com/watch1.jpg,https://example.com/watch2.jpg",75,5,,"Collectibles"
"Oil Painting Landscape","Original oil painting on canvas, 24x18 inches. Depicts serene mountain landscape with lake reflection. Signed by artist ""M. Roberts"" in bottom right corner. Excellent condition with original frame.","https://example.com/painting.jpg",200,25,300,"Art"
"Crystal Vase Set","Set of 3 crystal vases in graduating sizes (6"", 8"", 10"" tall). Lead crystal with intricate cut patterns. No chips or cracks. Perfect for wedding centerpieces or elegant home decoration.","https://example.com/vases1.jpg,https://example.com/vases2.jpg",50,5,,"Home & Garden"
"First Edition Book","First edition copy of 'The Great Gatsby' by F. Scott Fitzgerald. Published by Charles Scribner's Sons, 1925. Good condition with original dust jacket (some wear). Rare collectible for literature enthusiasts.","https://example.com/book1.jpg,https://example.com/book2.jpg,https://example.com/book3.jpg",500,50,750,"Books & Literature"
"Sterling Silver Tea Set","Complete 5-piece sterling silver tea service. Includes teapot, coffee pot, cream pitcher, sugar bowl, and serving tray. Hallmarked 'Wallace' circa 1950s. Total weight approximately 60 oz.","https://example.com/tea-set1.jpg,https://example.com/tea-set2.jpg",300,25,450,"Silver & Tableware"
"Vintage Guitar","1965 Gibson Les Paul Standard. Sunburst finish with original case. Some natural wear but excellent playing condition. Serial number verified authentic. Great investment piece for collectors.","https://example.com/guitar1.jpg,https://example.com/guitar2.jpg,https://example.com/guitar3.jpg",2000,100,3000,"Musical Instruments"
"Porcelain Figurine Collection","Set of 6 Royal Doulton figurines from the 'Pretty Ladies' collection. All in mint condition with original boxes. Produced between 1985-1992. Popular collectible series.","https://example.com/figurines1.jpg,https://example.com/figurines2.jpg",150,15,225,"Collectibles"
"Mid-Century Modern Chair","Eames-style lounge chair in walnut and black leather. Excellent condition with minimal wear. Authentic design from the 1960s. Perfect for modern or retro interior design.","https://example.com/chair1.jpg,https://example.com/chair2.jpg,https://example.com/chair3.jpg",400,40,600,"Furniture"
"Jewelry Box with Contents","Antique wooden jewelry box with red velvet lining. Contains assorted vintage costume jewelry including brooches, necklaces, and earrings from 1940s-1960s. Some pieces signed by known designers.","https://example.com/jewelry-box1.jpg,https://example.com/jewelry-box2.jpg,https://example.com/jewelry-contents.jpg",125,10,175,"Jewelry & Accessories"
